id,parsedContent
a1 ,기대 춥다 날씨 즐겁다 데이트 하트 주말 데이트 동인천 카페 커피 강추위 럽 스타 그램 바리스타 그램 
a2 ,황홀 강추위 밖 먹다 파전 완벽 조합 엄지 올리다 손 졸업 자축 겸 공부 휴강 
a3 ,기대 강추위 감기 조심 하다 남다 1월 마무리 바라다 
a4 ,기대 춥다 강추위 
a5 ,기대 다음 날씨 풀리다 오다 하트 눈 웃다 얼굴 꽃 한강 벚꽃 꽃구경 강추위 
a6 ,기대 가다 바람 쐬다 
a7 ,기대 울산 꽃구경 시댁 식구 시들다 꽃 가다 전 꽃단장 하다 샤 랄라 원피스 입다 강추위 파워 바람 춥다 스타킹 신고 어머님 점퍼 입다 담요 덮다 패션 테러 모드 나 
a8 ,기대 눈 오다 다음 날 꽃구경 바람개비 길 강추위 가족 가족 행복 
a9 ,기대 사진 작가 마음 일방통행 힘내다 
a10 ,재미 낚시터 낚시 비바람 김밥 뜯어먹다 주말 일요일 비 낚시 일상 기록 제법 낭만 현실 강추위 소소 행복 남자 행복 
a11 ,단짝 친구 환상 에버랜드 호랑이 강추위 
a12 ,오이 늦다 업로드 4월 강추위 오이 나 숭어 이마 너 득템 집 굳 딜 
a13 ,분노 떡 사다 집 앞 마트 가다 대박 춥다 하필 바람 앞 불다 모자 벗겨지다 따구 뻘겋다 배 햇살 속다 
a14 ,분노 품목 시강 입 벌리다 눈 감다 채 웃다 얼굴 춥다 집 나가다 개고생 당혹 하다 얼굴 당혹 하다 얼굴 일상 데일리 셀피 셀카 품목 터미널 버스 기다리다 중 강추위 비바람 집 최고 월요일 헬 요일 끝 
a15 ,분노 서울대 공원 리프트 강추위 10분 가다 얼다 죽다 뻔 4월 춥다 호랑이 입구 모시다 
a16 ,려 작년 이맘때 언니 가다 서울랜드 덥다 이번 얼다 죽다 뻔 
a17 ,중립 벚꽃 구경 가다 추위 때문 벚꽃 딸 바보 강추위 
a18 ,중립 아름답다 고베 한눈 보다 수 있다 롯코 산 가다 폭우 오다 실패 강추위 
a19 ,려 한국 아이러니 봄 미세먼지 벚꽃 강추위 패딩 내년 눈 벚꽃 보다 산소마스크 쓰다 
a20 ,기부 떨다 최강 추위 강추위 
a21 ,기부 벚꽃 과 강추위 홍유릉 육사 육군사관학교 아트 삼식 
a22 ,기부 여러분 날씨 미치다 옷 따뜻하다 입다 울다 얼굴 소원 강추위 
a23 ,기부 블라디보스톡 독수리 전망대 어젯밤 야경 강추위 나 제자리 멈추다 틈 앞 나가다 인생 하다 괜하다 감수성 슬퍼지다 하루 
a24 ,기부 영덕 블루 로드 춥다 하늘 피크닉 효과 기쁨 눈물 흘리다 얼굴 기쁨 눈물 흘리다 얼굴 신우 고생 엄지 올리다 손 기호 밝다 살색 
a25 ,중립 봄 다리 송정 떡갈비 거리 임자도 강추위 
a26 ,하트 버밍엄 얼음 얼음물 운하 버밍엄 운하 결빙 
a27 ,기대 봄 오다 
a28 ,러시아 여행 마지막 날 전날 가다 얼음 바다 낭만 느끼다 위하다 해양 공원 블라디보스톡 얼음 바다 아무르 만 결빙 겨울 왕국 해양 공원 
a29 ,려 얼음 장난 물 얼다 거 같다 침 흘리다 얼굴 
a30 ,한강 얼다 깨지다 얼음 하다 새롭다 엄지 올리다 손 기호 엄지 올리다 손 기호 
a31 ,실시간 버스 노선 변경 대설 특보 결빙 버스 노선 변경 제주 날씨 다이나믹 
a32 ,보다 하다 춥다 보이다 
a33 ,얼어붙다 강의 물결 예술 
a34 ,여기 이쁘다 곳 하다 무렵 베다 취 앉다 강바람 마음 씻다 좋다 찾아가다 곳 
a35 ,북극 바다 코카 콜라 대신 냉커피 마시다 북극곰 블라디보스토크 광고 찍다 광고 북극곰 냉커피 코카 콜라 얼음 바다 결빙 해양 공원 블라디보스토크 
a36 ,1년 달 얼어붙다 블라디보스토크 얼음 바다 엎드리다 눕다 포즈 블라디보스토크 얼음 바다 해양 공원 겨울 왕국 결빙 
a37 ,분노 춥다 익단 끝 결빙 하다 
a38 ,분노 던지다 철수 하다 하다 여기 빙 망하다 결빙 봄 멀다 낚시 배스 실패 
a39 ,분노 저 나가다 얼다 철수 
a40 ,분노 결빙 배스 낚시 캐스팅 하다 
a41 ,려 출동 필요 없다 조심 조심 무섭다 빙상 구조 숙달 훈련 침수 얼음 결빙 춥다 투신 금지 드라이 수트 다이빙 한강 영하 출동 현장 이동 뛰다 덥다 얼음 금가 소리 
a42 ,려 눈 무섭다 공항 가다 길 
a43 ,려 세차 중 결빙 썰매 정도 얼다 죽다 따다 
a44 ,기부 여행 가다 눈 오다 어떻다 여기 3월 
a45 ,기부 우수 깊다 밤 얼어붙다 강 건너다 연모 여인 만나다 야행 이 접다 
a46 ,얼어붙다 강물 아래 쉼 흐르다 물 
a47 ,중립 남극 만큼 춥다 서울 한강 빛 섬 결빙 니콘 드림 샷 
a48 ,중립 폴란드 숲 필터 없다 얼음 강 결빙 얼어붙다 얼어붙다 강 
a49 ,중립 결빙 하늘 켜다 서울 
a50 ,중립 한강 산책 길 광나루 한강 공원 결빙 워커힐 광진교 천호대교 올림픽대교 롯데 타워 한양 백수 
a51 ,황홀 오늘 뭉치 행복 하트 
a52 ,황홀 학년 반 검은색 하트 모임 4월 토요일 무더위 얼굴 있다 하현달 즐거움 하트 
a53 ,황홀 지금 여행 중 행복 다낭 여행 미케 비치 해변 무더위 혜성 가족 여행 가족 베트남 여행 
a54 ,황홀 시원 팥빙수 아이스크림 빙수 아이스크림 기분 전환 얼굴 
a55 ,황홀 말복 치킨 두껍다 하트 느낌표 장식 검은색 하트 여름 무더위 혜성 선선하다 가을 오다 손 들다 축하 사람 데일리 일상 스타 그램 하트 
a56 ,황홀 덥다 때 물놀이 최고 
a57 ,황홀 딸 바보 아빠 땀 흘리다 아다 주다 좋다 삐지다 좋다 윙크 얼굴 
a58 ,황홀 불금 잡다 남자 여자 노 보다 힐링 카페 카페 투어 데이트 신혼 부부 루프 탑 선선 바람 노을 불금 프로젝트 힐사이드 핫 플레이스 여름 무더위 혜성 
a59 ,황홀 아프다 데 차다 거 먹다 뭐 하다 내 먹다 사다 키스 날리다 얼굴 
